batch_number,number,caseNm,caseNo,courtNm,abridged_context,question,answer1,answer2,answer3,answer4,answer5,correct_answer,explanation
4,1,직무발명보상금,2003나52410,서울고법,,"특허받을 권리를 사용자에게 승계한 종업원은 직무발명 보상금 청구에서, 사용자가 추가로 보상금을 지급할 의무 발생을 제한하려면 이를 명시적으로 예외로 인정할 만한 ____가 존재해야 한다.",특별한 사정,내부지침,연구참여기간,시장점유율,개인포상,A,"(1) 판례에 따르면, 특허법 제40조 제1항상 직무발명 보상금 청구권은 원칙적으로 특허받을 권리의 승계와 동시에 성립한다. 사용자는 내부 규정으로 지급시기나 범위를 일방적으로 제한할 수 없으며, 보상금 지급의무의 발생을 제한하려면 반드시 '특별한 사정'이 있어야 한다.<br>(2) 선택지 검토: A는 판례상 청구권 발생의 예외적 제한요건으로 법리적으로 정확하다. B는 내부규정 등 사적 자치와 관련 있으나, '특별한 사정'이 없는 한 이를 근거로 의무를 면할 수 없다는 것이 중요하므로 배제된다. C, D, E는 결정적 요건이 아니며, 보상금 산정이나 배분과정에서는 참고될 수 있으나, 청구권 발생의 예외적 제한사유가 될 수 없다.<br>(3) 따라서 정답은 A(특별한 사정)이다."
4,2,임대차보증금,2016나40124,서울중앙지방법원,,임대인이 임차인에게 임대 목적물을 매도한 경우에도 질권자인 제3자는 임대차보증금반환채권에 대하여 ____ 수 있다.,여전히 질권을 행사할,자동으로 권리를 상실할,오직 매수인에게만 청구할,보증금 반환채권과 별개로 지급을 청구할,질권 설정자에 한해서만 행사할,A,"(1) 판결은 임대차보증금반환채권이 임대인과 임차인 사이의 아파트 매매에도 불구, 질권자인 제3자가 권리를 상실하지 않는다고 보았다. (2) '여전히 질권을 행사할 수 있다'는 선택지가 논지와 일치하며, 나머지 보기들은 질권 소멸(자동상실), 청구 대상의 제한(매수인 한정, 설정자 제한), 별개 권리행사(중복청구) 등으로 판례 법리에 배치된다. (3) 정답은 A이고, 기타 보기는 적용 범위 오해·핵심 요건 착오에 기초해 배제된다."
4,3,사기,2012고단2488,서울중앙지방법원,,보험계약자와 피보험자가 동일한 인보험계약에서 실제 계약에 임한 자가 계약 명의인과 일치하는지 여부는 보험계약의 ____에 해당한다.,본질적 중요 부분,부수적 사항,사전 합의 요건,사후 확인사항,법적 무관심 사항,A,(1) 법리 정리: 판례에 따르면 보험계약자와 피보험자가 같은 인보험계약에서 실제 계약에 임한 자가 명의인과 동일한지는 계약의 효력을 좌우하는 '본질적 중요 부분'임이 반복 설시된다. (2) 선택지 대입: '본질적 중요 부분'을 빈칸에 넣는 경우만 문장이 법리상 참이 된다. 나머지 보기(B~E)는 계약 핵심성 취지를 훼손하거나 관련성이 없다. (3) 따라서 정답은 A이다.
4,4,손해배상(기),2004가합14327,인천지방법원,,토지구획정리사업 조합이 체비지를 처분하는 계약을 체결하려면 조합원 총회 또는 이를 대행한 대의원회의 ____ 의결을 거쳐야 한다.,적법한,임의적인,임시적인,부분적인,비공식적인,A,"(1) 토지구획정리사업법 및 조합 정관에 따르면, 체비지 처분 계약은 조합원 총회 또는 대행 대의원회의 의결을 반드시 거쳐야 하며, 여기에서 필수적인 요건은 '적법성'이다. (2) 각 선택지 대입 시: '적법한'만이 법률이 요구하는 필수적 성격을 나타낸다. '임의적', '임시적', '부분적', '비공식적'은 해당 요건을 충족하지 않고 법원 역시 이를 근거로 계약 무효 여부를 판단하지 않는다. (3) 따라서 정답은 '적법한'이며, 이 외의 선택지는 법률상 필수 요건과 맞지 않으므로 배제된다."
4,5,사해행위취소,2017가합70659,의정부지방법원 고양지원,,"사해행위는 채무자가 재산을 처분하여 그로 인해 채권자의 채권을 만족시킬 수 없는 위험이 발생하면 인정되는데, 처분 당시 채무자가 이미 ____ 상태이거나, 그 처분으로 인하여 그 상태에 이르게 되는 경우에도 해당한다.",채무초과,재산상실,채권포기,신용상실,위법행위,A,"① 민법상 사해행위 성립 요건은 '채무초과'가 핵심이다. 이는 판례(2005다33602 등)에서 반복 확인된 기준으로, 사해행위는 채무자가 이미 자기 재산을 모두 처분해버려 채무를 감당하지 못하는 상태(채무초과), 또는 그 처분(예: 증여, 무상양도)으로 인해 채무초과가 새롭게 발생하는 경우 모두 가능하다. ② 보기에 '채무초과' 외의 다른 선택지를 문장에 대입하면, 법리가 불분명하거나 과·소확장되어 맞지 않는다. 예컨대 '재산상실', '신용상실'은 범위가 너무 넓고, '채권포기', '위법행위'는 사해행위의 개념적 요건이 아니다. ③ 정답은 '채무초과'가 유일하게 판례의 요건에 정확히 부합하므로, A가 정답이다."
4,6,배당이의,2001나57671,서울고등법원,,"채권양도 및 공사계약상의 권리·의무 승계를 통해 원고가 직접 공사를 완공하였다면, 그 공사대금채권에 대하여 피고들이 행사한 압류 및 전부명령의 ____는(은) 발생하지 않는다.",효과,우선순위,추심자격,자동대위,대항력,A,"(1) 판례는 원고가 00의 한전에 대한 권리·의무를 승계한 다음 자신의 비용으로 공사를 완공한 부분의 공사대금채권은 원고의 독자적 채권이므로, 피고들의 압류·전부명령의 집행대상이 될 수 없음을 밝혔다. 이에 따라 전부명령의 '효과'가 발생하지 않는다. (2) 선택지 대입 시, 오직 '효과'가 들어가야 문장이 법리상 참이 된다. 우선순위, 추심자격, 자동대위, 대항력은 각각 별도의 개념이거나, 본 사안의 전부명령의 무효 사유와 부합하지 않는다. (3) 즉, 정답은 A('효과')이고, 이는 전부명령 당시 피전부채권 자체가 존재하지 않아 직접적 '효과'가 미치지 않는다는 판례의 핵심 법리와 일치한다."
4,7,사해행위취소,2016가단105889,창원지방법원,,"채무자가 채무초과 상태에서 자신의 재산을 타인에게 증여하였다면 특별한 사정이 없는 한 이는 사해행위로 보아야 한다. 다만, 채무초과 상태에서 특정 채권자에 대한 변제의 경우에는 채무자가 일부 채권자와 통모하여 다른 채권자를 해할 의사로 변제를 한 경우가 아닌 한 ____ 사해행위가 아니다.",원칙적으로,반드시,예외적으로만,임의적으로,포괄적으로,A,"(1) 본 판례에 따르면, 채무자의 변제가 사해행위로 인정되기 위해서는 일부 채권자와 통모하여 타 채권자를 해할 의사가 있는 등 특별한 사정이 있어야 하며, 그렇지 않으면 원칙적으로는 사해행위로 볼 수 없다. (2) 보기 B(반드시), C(예외적으로만), D(임의적으로), E(포괄적으로)는 모두 법리상 문맥에 맞지 않음. (3) '원칙적으로'만이 해당 문장과 논증 구조상 타당하다."
4,8,손해배상(기),2005나6212,대구고등법원,,"행위의 책임을 변식할 지능이 없는 미성년자가 타인에게 손해를 가한 경우, 그 미성년자의 감독의무자는 특별한 사정이 없는 한 ____를 주장하거나 입증하지 않는 이상 손해배상책임을 면할 수 없다.",감독을 해태하지 않았음,고의가 아님,감독상 중과실이 없음,손해의 예견 가능성이 없음,공동불법행위가 아님,A,"(1) 민법 제755조 제1항에 따르면, 책임무능력자인 미성년자가 타인에게 손해를 입힌 경우 그의 감독의무자는 특별한 사정이 없는 한 책임을 진다. 대법원 판례 및 위 판결문에 의하면, 감독의무자는 스스로 '감독을 해태하지 않았음'을 주장·입증하지 못하는 한 면책받을 수 없음을 명확히 한다.
(2) 각 선택지를 문장에 대입하면, '감독을 해태하지 않았음'이 판례 및 민법 755조의 기본요건에 부합하며, 오로지 감독의무 불이행이 없다는 점만이 책임면제의 사유이기 때문에 나머지는 적용될 수 없다.
(3) B, D, E는 감독책임 면책요건과 무관하거나 논점을 확장·일탈한다. C는 '중과실 없음'이면 소극적 책임부담 범위를 오히려 축소하므로 근거 불비다. 따라서 유일한 정답은 A이다."
4,9,보건범죄단속에관한특별조치법위반(부정의료업자)·의료법위반,2009노2381,서울남부지방법원,,"보험가입자 검진을 위해 간호사가 의사 지도·감독 없이 채혈을 시행한 경우, 해당 행위는 의료인의 직접적 개입이 없고, 채혈과정에서 감염 등 위험이 발생할 우려가 있으므로 의료행위에 ____ 없다.",해당하지 않는다고 볼 수,해당할 여지가 없다고 할 수,포함된다고 단정할 수,해당하지 않는 예외가 인정된다고 할 수,비의료행위로 해석할 수,A,"이 판례는 보험계약 체결을 위한 목적으로 간호사가 의사 지도·감독 없이 채혈을 했을 때, 감염·혈관 손상 등 위험이 있어 의료행위 임을 인정하였다. 선택지 중 A(해당하지 않는다고 볼 수)는 사실과 다르며, C와 D·E도 법리와 불일치한다. 오직 A(해당하지 않는다고 볼 수)가 판례의 결론(의료행위에 해당한다)에 정합하지 않아 정답이며, 다른 선택지는 원칙 확대·오해 및 예외 혼동 등에 해당한다."
4,10,"손해배상(기),매매대금반환","2013나2010367(본소),2013나2010374(반소)",서울고등법원,,"이 사건 선박건조계약에서 분할금 지급기일의 도래는 강재절단 실행과 선급의 확인을 거친 원고의 통지가 있으면, 분할금 지급의무자에게 지급기일의 사전 통지가 일부 누락된 경우에도 해제의 적법성에는 ____만으로 이를 부정할 수 없다고 본다.",그 누락 사정,선행 계약위반 사정,계약 목적물의 중대한 하자,일방 당사자의 경제적 곤란,분할금 금액의 변동,A,"(1) 판례 논증에 따르면, 계약이 정한 분할금 지급기일의 도래는 건조사의 통지와 선급의 확인이 있으면 충분하며, 분할금 지급 의무자(피고 000)에 대한 사전통지가 실제로 일부 누락된 경우에도 그 취지는 단지 자금 준비 기회 부여에 불과하다. (2) 각 선택지를 대입해보면, '그 누락 사정'만이 판례가 허용하는 유일한 판단기준(기일 통지 누락만으로 해제 부적법 아님)임을 알 수 있다. 다른 보기들은 계약의 해제 적법성과 직접적 관련이 없는 내용이나 판례 논증에 반하는 주장이다. (3) 따라서 정답은 A '그 누락 사정'이다. 판례상 단순 통지 누락만으로 해제가 무효되진 않는다."
4,11,"가.폭력행위등처벌에관한법률위반(공동공갈)(일부예비적죄명,강요),나.공갈,다.골재채취법위반,라.농지법위반,마.건설산업기본법위반",2009고단290,청주지방법원 제천지원,,"공갈죄의 성립을 위해서는 타인에게 해악을 고지하는 협박이 필요하고, 그 협박은 현실적으로 피해자로 하여금 자유의사를 제압할 수 있는 정도이어야 한다. 그러나 단순히 기자라는 신분에 기한 압력이 있을 뿐, 해악을 고지하는 명시적 또는 묵시적 언동이 없는 경우에는 ____에 해당하여 무죄를 선고한다.",범죄의 증명이 없는 경우,위법성이 조각되는 경우,사실오인에 해당하는 경우,구성요건해당성이 없는 경우,위법성조각사유가 있는 경우,A,"(1) 판례는 공갈죄 및 강요죄에서 피해자에게 해악을 고지하는 명시적 또는 묵시적 협박 언동이 있는지 여부가 성립요건임을 분명히 한다. 단순 압력이나 영향력은 충분치 않고, 이러한 협박의 인정이 없다면 범죄 증명이 없다는 결론이 나온다. (2) 각 선택지를 대입해 보면, 본문의 '무죄를 선고'의 법률상 근거는 판결문에서 '형사소송법 제325조 후단에 의하여 범죄의 증명이 없는 경우에 해당하여 무죄를 선고한다'라고 명확히 출현한다. 나머지 보기는 주관적 구성요건의 부존재(A 제외) 또는 법적 효과(조각, 사실오인, 구성요건 부적합)와 혼동될 우려가 있으나, 판결 이유상 오로지 '범죄의 증명이 없는 경우'만이 참이다. (3) 따라서 정답은 A이고, B, D, E는 위법성조각 등과의 혼동, C는 사실판단 착오로 잘못된 설명이므로 배제한다."
4,12,부동산잔금대금등청구의소,2014가단51697,대전지방법원 서산지원,,"대지조성비용 채권이 매매계약에 따라 발생한 경우, 법원은 그 채권의 법적 성질에 비추어 민법 제163조 제3호가 정하는 _____의 단기소멸시효가 적용된다고 보았다.",3년,5년,10년,1년,20년,A,"대지조성비 채권의 소멸시효 기산점 및 시효기간이 쟁점이 되었으나, 법원은 이 채권이 실질적으로 공사대금 채권임을 근거로 민법 제163조 제3호의 3년 단기소멸시효가 적용된다고 판시하였다. 보기 A(3년)만이 이 문맥에 법리상 유일하게 들어맞으며, B(5년), C(10년), D(1년), E(20년)은 각각 상사채권, 민법상 일반금전채권, 단기채권, 장기채권의 시효 기간으로서 적합하지 않다. 따라서 정답은 A이고, 나머지 보기들은 본 판례의 논리적 적용 대상이 아니다."
4,13,배당이의,2017나24336,대구고법,,"개인회생절차에서 주채무자가 변제계획에 따라 변제를 이행 중이더라도, 연대보증채무가 신용보증기금법 제30조의3의 적용으로 감경 또는 면제되기 위해서는 ____이(가) 필요하다.",면책결정의 확정,변제계획안의 제출,회생계획인가결정,임의경매개시결정,채무조정안 수락,A,"(1) 판결문에 따르면 개인회생절차에서 주채무자가 단순히 변제계획안 인가결정을 받거나 변제를 이행 중인 사정만으로는 연대보증채무가 감경·면제되지 않는다. 신용보증기금법 제30조의3의 효과가 발생하려면, 그 전제요건으로 '면책결정이 확정되어야' 한다는 점을 명시적으로 밝히고 있다. (2) 각 보기를 대입해보면, B(변제계획안 제출), C(회생계획인가결정), D(임의경매개시결정), E(채무조정안 수락)는 모두 면책결정의 확정 이전 단계 내지 무관한 절차에 해당해 법리와 맞지 않는다. (3) 따라서 정답은 A(면책결정의 확정)이고, 나머지 보기는 감경·면제의 효과가 발생하지 않는 단계이므로 배제된다."
4,14,구상금,2007가단35765,전주지방법원,,국가배상법상 도로와 같은 영조물의 설치·관리상의 하자를 판단할 때에는 해당 영조물이 사회통념상 일반적으로 갖추어야 할 ____ 안전성을 기준으로 삼아야 한다.,상대적인,절대적인,최소한의,임시적인,제한적인,A,"(1) 판례는 도로 등 영조물의 설치·관리상의 하자 판단요소로, 그 영조물이 사회통념상 일반적으로 갖추어야 할 '상대적인' 안전성을 강조한다. 즉, 생활필수시설의 성격, 관리주체의 제약, 이용자의 상식적 이용 기대 등 구체적 사정을 종합해 판단하며, 완전무결한 상태(절대적 안전성)까지 요구하지 않는다. (2) 선택지 대입: '상대적인 안전성'만이 해당 법리의 요지와 일치한다. '절대적인'은 판례가 명확히 배제하는 기준이고, '최소한의', '임시적인', '제한적인' 등은 문맥상 의미가 부족하거나 왜곡된다. (3) 따라서 정답은 A(상대적인)이 된다."
4,15,매매대금,2007가합9307,서울남부지방법원,,"증권회사는 주식위탁매매 거래에서 고객에게 위탁증거금을 징수한 후 주식매매를 위탁받을 수 있으며, 고객이 결제시한 내에 매수대금을 납부하지 못한 경우 그 결제책임을 일차적으로 부담하는 자는 ____이다.",증권회사,위탁자,거래소,예탁결제원,감독기관,A,"(1) 이 사안에서, 판례와 증권거래법령은 고객이 결제시한 내에 결제가 불이행될 때 결제책임을 누가 먼저 지는지를 명확히 하고 있다. 위탁자는 원칙적으로 최종 책임을 지나, 일차적인 결제 의무는 증권회사에 있다.
(2) 각 선택지 대입: '위탁자'는 최종책임자로서 적합하지 않고, '거래소', '예탁결제원', '감독기관'은 일차적 결제책임과 무관하다. 문장 흐름상 '증권회사'만 법리와 부합한다.
(3) 따라서 정답은 A이고, 이 원칙을 통해 거래안전이 보장되는 구조임을 알 수 있다."
4,16,손해배상(기),2002나8002,대구고법,,"집합건물의 공용부분에 발생한 하자에 대한 손해배상청구권은, 그 귀속 주체와 행사 주체 측면에서 ____에 따라 각 공유자에게 가분적으로 귀속된다.",전유부분의 비율,관리단의 결의,공동소유 전원의 동의,입주자의 요구,매수인의 인원수,A,"이 판례에서 법원은 집합건물의 공용부분에 관한 손해배상청구권의 귀속에 대해, 집합건물의 소유및관리에관한법률 제10조, 제12조 등을 근거로 공용부분 손해배상청구권은 가분채권으로서 각 구분소유자에게 전유부분의 '비율'에 따라 귀속된다고 판시하였다. 선택지들을 대입해보면, '전유부분의 비율'만이 법리상 귀속 기준이 되고(정답), '관리단의 결의'나 '공동소유 전원의 동의' 등은 행사방식이나 집합적 의사결정과 관련될 수 있으나 귀속 자체의 기준이 아니다. '입주자의 요구', '매수인의 인원수'는 법리상 근거가 없다. 오직 '전유부분의 비율'만이 피고의 의무와 각 구분소유자의 권리를 정하는 핵심 연결고리이므로 A만이 정답이다."
4,17,대여금,2000나5327,대전지법,,채권자가 담보로 제공된 점유 부분을 실제로 사용·수익하면서도 대여금에 대한 이자를 청구하는 것은 신의성실의 원칙상 ____ 할 수 없다.,허용,강제,이행,부여,수락,A,"(1) 판례는 채권자가 담보로서 제공된 건물의 점유 부분을 실제로 사용·수익한 경우, 해당 기간에 대여금 이자까지 요구하는 것은 부당하다는 점을 명확히 하였다. (2) 선택지 '허용', '강제', '이행', '부여', '수락'을 각각 빈칸에 대입해 보면, 문장의 법리적 취지상 유일하게 의미가 성립하는 어휘는 '허용'이다. (3) 즉, 채권자의 이자 청구는 신의성실의 원칙상 '허용'되지 않으므로, 정답은 A이다."
4,18,손해배상(기),2013나2027006,서울고등법원,,"소송이 제기된 시점에 이미 사망한 자는 당사자능력이 없으므로, 이와 같은 경우에는 법원이 직권으로 그 소를 ____ 하여야 한다.",각하,기각,종국판결,변론종결,승계,A,"소송이 제기된 시점에 당사자가 이미 사망한 경우에는 실체법상 당사자능력이 결여되어 소 자체가 성립할 수 없습니다. 이 경우 법원은 당사자능력 흠결을 직권으로 판단하여 부적법하다고 보아 각하 판결을 하여야 합니다. 대입 검토 결과, '각하'만이 당사자능력 결여에 대한 처리 방식(절차적 종료)을 가리키는 용어로서 유일하게 문맥과 맞고, '기각'은 실질적 심리 후 청구를 받아들이지 않는 경우에, '종국판결'과 '변론종결'은 본문 논점과 무관하며, '승계'는 주장되지 않아 오답입니다. 따라서 정답은 A(각하)입니다."
4,19,근저당권설정등기말소,2007나6442,대전고등법원,,"근저당권이 특정 채무만을 담보하기 위한 것으로 보기 어렵더라도, 합병 전에 발생한 채무 외에 합병 이후에 새로 발생한 채무까지 근저당권이 담보한다고 볼 수는 없으므로, 피담보채무의 범위는 합병 당시 ____ 채무로 한정한다.",존재하던,추후 발생할,문서상 약정된 모든,합병 무관하게 발생한,장래에 예상된,A,"(1) 판례는 근저당권이 특정 채무만 담보하는 것은 아니라고 하면서도, 합병 이후 새로 발생한 채무까지 담보한다고 볼 수 없다고 명확히 한다. 즉, 피담보채무는 합병 시점에 이미 성립·존재하던 채무로 한정된다. (2) 각 선택지를 대입해보면, '존재하던'만이 합병 당시의 채무라는 의미로 정확히 맞아떨어진다. '추후 발생할', '장래에 예상된' 등은 합병 이후 채무를 포함하므로 오답이고, '문서상 약정된 모든' 및 '합병 무관하게 발생한' 또한 피담보채무 범위를 과도하게 넓혀 판례 취지에 부합하지 않는다. (3) 따라서 정답은 '존재하던'이다."
4,20,소유권이전등기등,2007가단13035,대구지방법원 김천지원,,"부동산실권리자명의등기에관한법률 제4조에 따라 명의신탁 약정이 무효라 하더라도, 명의수탁자가 당사자가 되어 진정한 권리자를 알지 못하는 제3자와 매매계약을 맺고 소유권이전등기를 마친 경우, 그 부동산의 소유권은 ____에게 귀속된다고 본다.",명의수탁자,명의신탁자,최종 매수인,국가,원소유자,A,"① 법리는 ‘명의신탁 약정의 무효에도 불구, 명의수탁자가 제3자(진정 권리자를 모르는 매도인)와 매매계약 후 등기를 마친 경우 부동산의 소유권은 명의수탁자에게 귀속된다’는 대법원 판례가 반복해 확인한 바 있다. 부동산실권리자명의등기에관한법률의 취지가 명의신탁 약정 자체를 무효로 하지만, 물권변동의 효력은 별도로 남게 함에 근거한다. ② 예컨대 보기 B(명의신탁자)는 실질적 권리자임을 주장할 경우, 법률상 무효이긴 하나 이미 소유권이 명의수탁자로 넘어간 이상 직접 소유권 귀속을 인정받을 수 없다. 다른 보기들도 당사자 구조 또는 적용조항상 본 문맥에 부합하지 않는다. ③ 따라서 정답은 A(명의수탁자)이다."
4,21,승계집행문부여에대한이의,2014가단2541,전주지방법원,,"합병의 무효확정판결이 있었더라도 등기부상에 해당 판결에 따른 변경등기가 이루어지지 않은 경우, 선의의 제3자에게는 합병의 무효를 ____ 하지 못한다.",대항,확정,인용,집행,이행,A,"(1) 상법 및 판례는 합병무효 판결이 확정된 경우에도, 그에 따르는 변경등기가 없다면 등기되지 않은 사실을 선의의 제3자에게 주장할 수 없음을 명확히 한다(상법 제37조). (2) 선지는 모두 문장에 어울리지만, ‘대항’을 넣었을 때만 등기 없는 합병무효를 제3자에게 주장할 수 없다는 등기의 대항요건 법리를 올바르게 표현한다. (3) ‘확정’이나 ‘인용’ 등은 소송의 결과나 명칭에 관한 용어일 뿐, 제3자 효과와 직접 연결되지 않는다. 그러므로 오직 ‘대항’만이 논리적으로 타당하다."
4,22,구상금,2016가합45598,부산지방법원,,"채무의 명의만 빌려주고 실제 대출금 전액을 사용하지 않은 자는 통상적으로 대출금에 대한 변제책임을 부담하지 아니하므로, 이 사건에서 피고는 대출의 ____에 해당한다고 판단된다.",명의대여자,공동채무자,연대보증인,실제 채무자,지급보증기관,A,"(1) 대출금의 실제 사용처, 입출금 내역, 자금흐름 등을 근거로 판례는 명의만 빌려준 자와 대출금의 실사용자를 구별하고 있다. 본 사안에서 피고는 형식상 채무자이나 실질적으로 대출금을 사용하지 않았으므로, 원칙적으로 그 변제책임을 부담하지 않는다. (2) 각 선택지 대입 시 '명의대여자'만이 '채무 명의만 빌려주었을 뿐, 실제 변제책임이 없음'이라는 핵심 법리에 부합한다. (3) 따라서 정답은 'A'이고, B·C·D·E는 각기 공동·연대채무 관련 법리, 지급보증 기관 등으로 본 사안 핵심요건과 맞지 않는다."
4,23,손해배상(기),2017나81740,서울중앙지방법원,,"설계도면에 하자가 있음을 인정하는 경우에도, 손해배상액 산정과 관련하여서는 원고에게 ____에 관한 구체적인 주장과 입증이 필요하다.",손해액,계약해지의 효력,채무불이행의 사유,과실의 비율,법령위반의 사실,A,"법원은 설계도면 하자 그 자체만으로 손해액이 바로 산정되지는 않으며, 원고가 구체적 손해액을 주장·입증하지 않으면 배상 책임이 인정되지 않는다고 판단하였다. 선택지 적용시, '손해액'만이 법적 요건을 완성하며, 다른 보기들은 각각 계약해지 문제(범위 초과), 불이행사유(이미 다룸), 과실비율(손해배상책임 성립 이후의 문제), 법령위반 사실(하자 요건에 불과)로 모두 적합하지 않다. 따라서 정답은 A이다."
4,24,근저당권말소등기의회복등기절차이행등,2014나3511,부산고등법원,,"회생법원의 촉탁에 의해 말소된 근저당권설정등기의 회복등기는 원칙적으로 ____에 의해 이루어져야 하므로, 해당 회복등기를 소구할 이익은 없다.",법원의 촉탁,채권자의 단독 신청,공동신청,등기공무원의 직권,명의인 표시정정,A,"(1) 판례에 따르면 근저당권설정등기가 법원의 촉탁이나 등기공무원의 직권에 의해 말소된 경우, 그 회복등기도 동일하게 법원의 촉탁이나 등기공무원의 직권에 의해서만 실행되어야 하며, 당사자가 이를 소구할 이익은 인정되지 않는다. (2) 선택지를 대입하면 B(채권자의 단독 신청), C(공동신청), E(명의인 표시정정)는 판시된 회복 방식에 부합하지 않고, D(등기공무원의 직권)은 본 사안에서는 법원의 촉탁에 의한 등기말소임에 따라 논리적으로 완전하지 않다. (3) 따라서, 회복등기는 '법원의 촉탁'에 의해 이루어진다는 점이 정답이다."
4,25,이사회결의무효확인등,2016나2089876,서울고등법원,,"상환주식의 조기상환청구권을 행사하여 회사에 통지하면, 원고의 주주로서의 지위는 ____ 지위로 전환된다고 본다.",상환대금 채권자,우선적 이해관계자,담보권 보유자,소수주주,집행권원 신청인,A,"(1) 상법상 상환주식의 조기상환청구권은 주주가 회사에 투자금을 회수할 의사로 통지하면, 당해 주식은 상환의 효력이 발생하고 소각이 예정된다. 법원의 판시는 투자자가 회사에 상환청구 의사를 밝힌 이상, 더 이상 주주 지위에 머무르는 것이 아니라 회사에 대한 상환대금 채권자 지위로 전환된다고 본다. (2) 보기 A를 넣으면 '상환주식의 조기상환청구권을 행사하여 회사에 통지하면, 원고의 주주로서의 지위는 상환대금 채권자 지위로 전환된다고 본다.'는 법리적으로 명백히 참이며, 주주 권리의 상실과 채권자로의 지위 변화라는 핵심 논증에 정확히 부합한다. (3) B는 관련 법리가 명문으로 인정하지 않고, C(담보권 보유자)는 상환대금의 보전 장치를 별론으로 한다고만 판단했을 뿐 주주권과 동일시하지 않는다. D는 주주권의 잔존을 전제하나 본 판례는 상환 청구 의사 표시만으로 소멸로 봤으므로 타당하지 않고, E는 전혀 법리와 무관하다. 오직 A만이 해당 문장과 판례 요지에서 정답이 된다."
4,26,계약금반환,2013나2627,울산지방법원,,민법 제544조에 따라 계약을 해제하기 위해서는 채무불이행이 계약의 목적 달성에 있어 ____ 채무여야 한다.,주된,부수적,명시적,소극적,추상적,A,"민법 제544조의 해제 요건에 따르면, 단순한 부수적 채무의 불이행만으로는 계약 해제가 인정되지 않으며, 그 채무가 계약의 목적 달성에 필수적인 '주된' 채무여야 한다. 선택지들을 문장에 대입하면 오직 '주된' 채무인 경우에만 해제 요건이 충족됨을 알 수 있다. '부수적'은 범위가 너무 넓고, '명시적', '소극적', '추상적'은 주된 채무의 법리적 개념을 대체하지 못하므로 오답이다."
